,brand,category,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box,category_map,brand_encoding,online_only_No,online_only_Yes,exclusive_No,exclusive_Yes,limited_edition_No,limited_edition_Yes,rating_map
0,Acqua Di Parma,Fragrance,4.0,-0.215962441314554,0.1563048138764373,66.0,Yes,No,No,8.343558863768457,0,63,0,1,1,0,1,0,1
1,Acqua Di Parma,Cologne,4.5,0.460093896713615,0.0974468914441629,66.0,Yes,No,No,8.343558863768457,2,63,0,1,1,0,1,0,1
2,Acqua Di Parma,Perfume,4.5,-0.0093896713615023,0.0779575131553303,180.0,Yes,No,No,12.422911650629937,3,63,0,1,1,0,1,0,1
3,Acqua Di Parma,Perfume,4.5,-0.0375586854460093,0.1364256480218281,120.0,Yes,No,No,10.626234399741618,3,63,0,1,1,0,1,0,1
4,Acqua Di Parma,Fragrance,3.5,-0.2347417840375587,-0.2449814850906256,72.0,Yes,No,No,8.651025360870298,0,63,0,1,1,0,1,0,1
5,Acqua Di Parma,Perfume,4.5,0.488262910798122,0.0779575131553303,180.0,Yes,No,No,12.422911650629937,3,63,0,1,1,0,1,0,1
6,Acqua Di Parma,Perfume,4.5,0.488262910798122,0.5457025920873124,210.0,Yes,No,No,13.165027822642497,3,63,0,1,1,0,1,0,1
7,Acqua Di Parma,Cologne,5.0,-0.1314553990610328,-0.2886376924576106,120.0,Yes,No,No,10.626234399741618,2,63,0,1,1,0,1,0,1
8,Acqua Di Parma,Perfume,3.0,-0.2065727699530516,-0.0194893782888325,58.0,Yes,Yes,No,7.901441522764385,3,63,0,1,0,1,1,0,1
9,Acqua Di Parma,Perfume,3.5,-0.2253521126760563,-0.4118105632430325,120.0,Yes,No,No,10.626234399741618,3,63,0,1,1,0,1,0,1
10,Acqua Di Parma,Perfume,4.5,-0.1032863849765258,-0.0584681348664977,120.0,No,No,No,10.626234399741618,3,63,1,0,1,0,1,0,1
11,Acqua Di Parma,Perfume,4.5,-0.0751173708920187,0.0194893782888325,142.0,Yes,No,No,11.345879430108056,3,63,0,1,1,0,1,0,1
12,Acqua Di Parma,Perfume,4.5,0.1596244131455399,0.1364256480218281,120.0,Yes,No,No,10.626234399741618,3,63,0,1,1,0,1,0,1
13,Acqua Di Parma,Perfume,0.0,-0.2535211267605634,-0.4008965114012863,275.0,Yes,No,No,14.548180849193407,3,63,0,1,1,0,1,0,1
14,Acqua Di Parma,Fragrance,4.0,-0.244131455399061,-0.3129994153186513,80.0,Yes,Yes,Yes,9.034169117693915,0,63,0,1,0,1,0,1,1
15,Acqua Di Parma,Perfume,4.5,-0.1971830985915492,-0.3691288247904892,120.0,Yes,No,No,10.626234399741618,3,63,0,1,1,0,1,0,1
16,Acqua Di Parma,Cologne,4.0,-0.0657276995305164,-0.3149483531475346,120.0,Yes,No,No,10.626234399741618,2,63,0,1,1,0,1,0,1
17,Acqua Di Parma,Perfume Gift Sets,5.0,-0.244131455399061,-0.3876437341648801,113.0,Yes,No,Yes,10.377912920217971,1,63,0,1,1,0,0,1,1
18,Acqua Di Parma,Perfume,5.0,-0.244131455399061,-0.3800428766322354,70.0,Yes,No,No,8.550605122246802,3,63,0,1,1,0,1,0,1
19,Acqua Di Parma,Perfume,4.5,-0.2065727699530516,-0.3515883843305398,120.0,Yes,No,No,10.626234399741618,3,63,0,1,1,0,1,0,1
20,Acqua Di Parma,Perfume,4.5,0.0657276995305164,-0.0584681348664977,142.0,Yes,No,No,11.345879430108056,3,63,0,1,1,0,1,0,1
21,Acqua Di Parma,Cologne,4.0,-0.244131455399061,-0.4061586435392711,245.0,Yes,No,No,13.942052775998096,2,63,0,1,1,0,1,0,1
22,Acqua Di Parma,Cologne,0.0,-0.2535211267605634,-0.3782888325862405,120.0,Yes,No,No,10.626234399741618,2,63,0,1,1,0,1,0,1
23,Acqua Di Parma,Perfume,5.0,-0.2347417840375587,-0.3383356070941337,275.0,Yes,No,No,14.548180849193407,3,63,0,1,1,0,1,0,1
24,Acqua Di Parma,Perfume Gift Sets,5.0,-0.244131455399061,-0.398947573572403,200.0,Yes,No,Yes,12.926440913640182,1,63,0,1,1,0,0,1,1
25,Acqua Di Parma,Cologne,4.0,-0.2065727699530516,-0.3697135061391541,245.0,Yes,No,No,13.942052775998096,2,63,0,1,1,0,1,0,1
26,Acqua Di Parma,Cologne,4.0,-0.2347417840375587,-0.3975833170921847,245.0,Yes,No,No,13.942052775998096,2,63,0,1,1,0,1,0,1
27,Acqua Di Parma,Perfume Gift Sets,0.0,-0.2535211267605634,-0.3890079906450984,113.0,Yes,No,Yes,10.377912920217971,1,63,0,1,1,0,0,1,1
28,Acqua Di Parma,Perfume Gift Sets,0.0,-0.2535211267605634,-0.3829662833755603,200.0,Yes,No,Yes,12.926440913640182,1,63,0,1,1,0,0,1,1
29,Acqua Di Parma,Perfume,0.0,-0.2535211267605634,-0.3966088481777431,275.0,Yes,No,No,14.548180849193407,3,63,0,1,1,0,1,0,1
30,Acqua Di Parma,Perfume,0.0,-0.2535211267605634,-0.4049892808419411,275.0,Yes,No,No,14.548180849193407,3,63,0,1,1,0,1,0,1
31,AERIN,Perfume,4.0,0.6009389671361502,1.13038394075229,130.0,Yes,No,No,10.963919948435288,3,66,0,1,1,0,1,0,1
32,AERIN,Perfume,4.5,0.4694835680751174,0.662638861820308,130.0,Yes,No,No,10.963919948435288,3,66,0,1,1,0,1,0,1
33,AERIN,Perfume,5.0,-0.1408450704225352,-0.0974468914441629,235.0,Yes,No,No,13.728458880472994,3,66,0,1,1,0,1,0,1
