,brand,category,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box
0,Acqua Di Parma,Fragrance,4.0,-0.215962441314554,0.15630481387643735,66.0,Yes,No,No,8.343558863768457
1,Acqua Di Parma,Cologne,4.5,0.460093896713615,0.09744689144416294,66.0,Yes,No,No,8.343558863768457
2,Acqua Di Parma,Perfume,4.5,-0.009389671361502348,0.07795751315533035,180.0,Yes,No,No,12.422911650629937
3,Acqua Di Parma,Perfume,4.5,-0.03755868544600939,0.1364256480218281,120.0,Yes,No,No,10.626234399741618
4,Acqua Di Parma,Fragrance,3.5,-0.2347417840375587,-0.24498148509062562,72.0,Yes,No,No,8.651025360870298
5,Acqua Di Parma,Perfume,4.5,0.48826291079812206,0.07795751315533035,180.0,Yes,No,No,12.422911650629937
6,Acqua Di Parma,Perfume,4.5,0.48826291079812206,0.5457025920873124,210.0,Yes,No,No,13.165027822642497
7,Acqua Di Parma,Cologne,5.0,-0.13145539906103287,-0.2886376924576106,120.0,Yes,No,No,10.626234399741618
8,Acqua Di Parma,Perfume,3.0,-0.20657276995305165,-0.019489378288832588,58.0,Yes,Yes,No,7.901441522764385
9,Acqua Di Parma,Perfume,3.5,-0.22535211267605634,-0.41181056324303256,120.0,Yes,No,No,10.626234399741618
10,Acqua Di Parma,Perfume,4.5,-0.10328638497652583,-0.05846813486649776,120.0,No,No,No,10.626234399741618
11,Acqua Di Parma,Perfume,4.5,-0.07511737089201878,0.019489378288832588,142.0,Yes,No,No,11.345879430108056
12,Acqua Di Parma,Perfume,4.5,0.1596244131455399,0.1364256480218281,120.0,Yes,No,No,10.626234399741618
13,Acqua Di Parma,Perfume,0.0,-0.2535211267605634,-0.4008965114012863,275.0,Yes,No,No,14.548180849193407
14,Acqua Di Parma,Fragrance,4.0,-0.24413145539906103,-0.31299941531865133,80.0,Yes,Yes,Yes,9.034169117693915
15,Acqua Di Parma,Perfume,4.5,-0.19718309859154928,-0.3691288247904892,120.0,Yes,No,No,10.626234399741618
16,Acqua Di Parma,Cologne,4.0,-0.06572769953051644,-0.3149483531475346,120.0,Yes,No,No,10.626234399741618
17,Acqua Di Parma,Perfume Gift Sets,5.0,-0.24413145539906103,-0.3876437341648801,113.0,Yes,No,Yes,10.377912920217971
