,brand,category,size,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box
0,Acqua Di Parma,Fragrance,5 x 0.16oz/5mL,4.0,4,3002,66.0,Yes,No,No,8.343558863768457
1,Acqua Di Parma,Cologne,0.7 oz/ 20 mL,4.5,76,2700,66.0,Yes,No,No,8.343558863768457
2,Acqua Di Parma,Perfume,5 oz/ 148 mL,4.5,26,2600,180.0,Yes,No,No,12.422911650629937
3,Acqua Di Parma,Perfume,2.5 oz/ 74 mL,4.5,23,2900,120.0,Yes,No,No,10.626234399741618
4,Acqua Di Parma,Fragrance,5 x 0.16oz/5mL,3.5,2,943,72.0,Yes,No,No,8.651025360870298
5,Acqua Di Parma,Perfume,5 oz/ 148 mL,4.5,79,2600,180.0,Yes,No,No,12.422911650629937
6,Acqua Di Parma,Perfume,3.4 oz/ 101 mL,4.5,79,5000,210.0,Yes,No,No,13.165027822642495
7,Acqua Di Parma,Cologne,1.7 oz/ 50 mL,5.0,13,719,120.0,Yes,No,No,10.626234399741618
8,Acqua Di Parma,Perfume,1.7oz/50mL,3.0,5,2100,58.0,Yes,Yes,No,7.901441522764385
9,Acqua Di Parma,Perfume,2.5 oz / 75 mL,3.5,3,87,120.0,Yes,No,No,10.626234399741618
10,Acqua Di Parma,Perfume,2.5 oz/ 74 mL,4.5,16,1900,120.0,No,No,No,10.626234399741618
11,Acqua Di Parma,Perfume,1.7 oz/ 50 mL,4.5,19,2300,142.0,Yes,No,No,11.345879430108056
12,Acqua Di Parma,Perfume,2.5 oz/ 74 mL,4.5,44,2900,120.0,Yes,No,No,10.626234399741618
13,Acqua Di Parma,Perfume,3.4 oz/ 100 mL,0.0,0,143,275.0,Yes,No,No,14.548180849193407
14,Acqua Di Parma,Fragrance,no size,4.0,1,594,80.0,Yes,Yes,Yes,9.034169117693915
15,Acqua Di Parma,Perfume,2.5 oz/ 75 mL,4.5,6,306,120.0,Yes,No,No,10.626234399741618
16,Acqua Di Parma,Cologne,1.7 oz/ 50 mL,4.0,20,584,120.0,Yes,No,No,10.626234399741618
17,Acqua Di Parma,Perfume Gift Sets,no size,5.0,1,211,113.0,Yes,No,Yes,10.377912920217973
18,Acqua Di Parma,Perfume,1 oz / 30 mL,5.0,1,250,70.0,Yes,No,No,8.550605122246802
19,Acqua Di Parma,Perfume,1.7 oz/ 50 mL,4.5,5,396,120.0,Yes,No,No,10.626234399741618
20,Acqua Di Parma,Perfume,1.7 oz/ 50 mL,4.5,34,1900,142.0,Yes,No,No,11.345879430108056
21,Acqua Di Parma,Cologne,3.4 oz/ 100 mL,4.0,1,116,245.0,Yes,No,No,13.942052775998095
22,Acqua Di Parma,Cologne,1.7 oz/ 50 mL,0.0,0,259,120.0,Yes,No,No,10.626234399741618
23,Acqua Di Parma,Perfume,no size,5.0,2,464,275.0,Yes,No,No,14.548180849193407
24,Acqua Di Parma,Perfume Gift Sets,no size,5.0,1,153,200.0,Yes,No,Yes,12.926440913640182
25,Acqua Di Parma,Cologne,3.4 oz/ 101 mL,4.0,5,303,245.0,Yes,No,No,13.942052775998095
26,Acqua Di Parma,Cologne,3.4 oz/ 100 mL,4.0,2,160,245.0,Yes,No,No,13.942052775998095
27,Acqua Di Parma,Perfume Gift Sets,no size,0.0,0,204,113.0,Yes,No,Yes,10.377912920217973
28,Acqua Di Parma,Perfume Gift Sets,no size,0.0,0,235,200.0,Yes,No,Yes,12.926440913640182
29,Acqua Di Parma,Perfume,3.4 oz/ 100 mL,0.0,0,165,275.0,Yes,No,No,14.548180849193407
30,Acqua Di Parma,Perfume,3.4 oz/ 100 mL,0.0,0,122,275.0,Yes,No,No,14.548180849193407
31,AERIN,Perfume,1.7 oz/ 50 mL,4.0,91,8000,130.0,Yes,No,No,10.963919948435288
32,AERIN,Perfume,1.7 oz/ 50 mL,4.5,77,5600,130.0,Yes,No,No,10.963919948435288
33,AERIN,Perfume,1.7 oz/ 50 mL,5.0,12,1700,235.0,Yes,No,No,13.728458880472994
34,AERIN,Perfume,1.7 oz/ 50 mL,4.5,63,3800,130.0,Yes,No,No,10.963919948435288
35,AERIN,Perfume,1.7 oz/ 50 mL,4.5,39,4400,130.0,Yes,No,No,10.963919948435288
36,AERIN,Perfume,0.27 oz/ 8 mL,5.0,2,697,30.0,Yes,No,No,5.892806489984965
37,AERIN,Perfume,1.7 oz/ 50 mL,3.5,33,1500,130.0,Yes,No,No,10.963919948435288
38,AERIN,Perfume,1.7 oz / 50 mL,4.5,48,3900,130.0,Yes,No,No,10.963919948435288
39,AERIN,Fragrance,0.27 oz/ 8 mL,4.5,33,4700,30.0,Yes,No,No,5.892806489984965
40,AERIN,Perfume,1.7 oz/ 50 mL,4.0,17,1800,130.0,Yes,No,No,10.963919948435288
41,AERIN,Perfume,3.4 oz/ 101 mL,4.5,52,4700,180.0,Yes,No,No,12.422911650629937
42,AERIN,Perfume,1.7oz/50mL,4.5,12,1100,130.0,Yes,No,No,10.963919948435288
43,AERIN,Perfume,1.7 oz/ 50 mL,4.5,23,2900,130.0,Yes,No,No,10.963919948435288
44,AERIN,Perfume,1.7 oz/ 50 mL,4.5,9,1400,130.0,Yes,No,No,10.963919948435288
45,AERIN,Perfume,6.7 oz/ 200 mL,4.0,3,1600,175.0,Yes,No,No,12.29093891756338
46,AERIN,Perfume,6.7 oz/ 200 mL,4.0,14,1300,175.0,Yes,No,No,12.29093891756338
47,Armani Beauty,Cologne,3.4 oz/ 100 mL,5.0,691,17200,88.0,No,No,No,9.391288728612432
48,Armani Beauty,Perfume Gift Sets,no size,0.0,0,527,88.0,No,Yes,Yes,9.391288728612432
49,Armani Beauty,Perfume,1.7 oz/ 50 mL,4.5,921,30300,78.0,No,No,No,8.940999128028045
50,Armani Beauty,Perfume,1.7 oz/ 50 mL,4.5,365,24400,97.0,No,No,No,9.766776201471876
51,Armani Beauty,Cologne,1.7 oz/ 50 mL,5.0,243,6600,72.0,No,No,No,8.651025360870298
52,Armani Beauty,Cologne,1.35 oz,4.5,27,3300,77.0,No,No,No,8.893784278203992
53,Armani Beauty,Perfume,1.7 oz/ 50 mL,4.5,1000,10500,97.0,No,No,No,9.766776201471876
54,Armani Beauty,Perfume,1.7 oz/ 50 mL,4.5,608,13600,72.0,No,No,No,8.651025360870298
55,Armani Beauty,Cologne,4.2 oz/ 125 mL,0.0,0,84,138.0,No,No,No,11.221166881341228
56,Armani Beauty,Perfume,1.7 oz/ 50 mL,4.5,46,4700,97.0,No,No,No,9.766776201471876
57,Armani Beauty,Cologne,6.7 oz/ 198 mL,5.0,12,1700,126.0,No,No,No,10.831111229874148
58,Armani Beauty,Cologne,2.5 oz/ 75 mL,4.5,36,1900,100.0,No,No,No,9.886487181936577
59,Armani Beauty,Cologne,2 oz/ 60 mL,5.0,26,1800,95.0,No,No,No,9.685517901520962
60,Armani Beauty,Perfume Gift Sets,2 x 0.17 oz/ 5 mL,4.0,4,2000,25.0,No,Yes,Yes,5.403531282328869
61,Armani Beauty,Perfume,3.4 oz/ 100 mL,0.0,0,324,126.0,No,No,No,10.831111229874148
62,Armani Beauty,Cologne,1.7 oz/ 50 mL,4.5,330,749,72.0,No,No,No,8.651025360870298
63,Armani Beauty,Perfume,1.0 Fl oz/ 30mL,4.5,13,1200,58.0,No,No,No,7.901441522764385
64,Armani Beauty,Cologne,3.4 oz/ 100 mL,4.5,357,2000,79.0,No,No,No,8.987791050934973
65,Armani Beauty,Perfume,1.7 oz/ 50 mL,4.5,28,3300,78.0,No,No,No,8.940999128028045
66,Armani Beauty,Cologne,2.5 fl oz/ 75mL,4.5,3,234,100.0,No,No,No,9.886487181936577
67,Armani Beauty,Cologne,2oz/60mL,5.0,5,438,95.0,No,No,No,9.685517901520962
